hour,reference demand [p.u.],demand after DR program [p.u.]
00:00,0.81,0.81
00:15,0.73,0.73
00:30,0.75,0.75
00:45,0.75,0.75
01:00,0.74,0.74
01:15,0.74,0.74
01:30,0.73,0.73
01:45,0.73,0.73
02:00,0.71,0.71
02:15,0.70,0.70
02:30,0.70,0.70
02:45,0.70,0.70
03:00,0.66,0.66
03:15,0.68,0.68
03:30,0.66,0.66
03:45,0.70,0.70
04:00,0.69,0.69
04:15,0.66,0.66
04:30,0.68,0.68
04:45,0.66,0.66
05:00,0.64,0.64
05:15,0.65,0.65
05:30,0.64,0.64
05:45,0.63,0.63
06:00,0.60,0.60
06:15,0.60,0.60
06:30,0.47,0.47
06:45,0.44,0.44
07:00,0.45,0.45
07:15,0.38,0.38
07:30,0.41,0.41
07:45,0.38,0.38
08:00,0.37,0.37
08:15,0.34,0.34
08:30,0.33,0.33
08:45,0.32,0.32
09:00,0.30,0.30
09:15,0.29,0.29
09:30,0.30,0.30
09:45,0.29,0.29
10:00,0.33,0.33
10:15,0.35,0.35
10:30,0.25,0.25
10:45,0.26,0.26
11:00,0.31,0.31
11:15,0.30,0.30
11:30,0.27,0.27
11:45,0.30,0.30
12:00,0.30,0.30
12:15,0.32,0.32
12:30,0.33,0.33
12:45,0.35,0.35
13:00,0.42,0.42
13:15,0.36,0.36
13:30,0.36,0.36
13:45,0.46,0.46
14:00,0.52,0.52
14:15,0.47,0.47
14:30,0.44,0.44
14:45,0.42,0.42
15:00,0.48,0.48
15:15,0.49,0.49
15:30,0.36,0.36
15:45,0.37,0.37
16:00,0.37,0.37
16:15,0.34,0.34
16:30,0.35,0.35
16:45,0.33,0.33
17:00,0.37,0.37
17:15,0.43,0.43
17:30,0.44,0.44
17:45,0.45,0.45
18:00,0.49,0.49
18:15,0.56,0.56
18:30,0.60,0.60
18:45,0.68,0.68
19:00,0.76,0.76
19:15,0.83,0.83
19:30,0.84,0.84
19:45,0.82,0.82
20:00,0.90,0.77
20:15,0.97,0.85
20:30,0.96,0.84
20:45,1.00,0.88
21:00,0.96,0.84
21:15,0.97,0.85
21:30,0.90,0.90
21:45,0.95,0.95
22:00,0.96,0.96
22:15,0.92,0.92
22:30,0.87,0.87
22:45,0.85,0.85
23:00,0.81,0.81
23:15,0.84,0.84
23:30,0.82,0.82
23:45,0.81,0.81